49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
G ,"Self-heating solid, inorganic, n.o.s.",4.2,UN3190,III,4.2,"IB8, IP3, T1, TP33",None,213,241,25 kg,100 kg,C,,,
G ,"Self-heating, solid, organic, n.o.s.",4.2,UN3088,II,4.2,"IB6, IP2, T3, TP33",None,212,241,15 kg,50 kg,C,,,
G ,"Self-heating, solid, organic, n.o.s.",4.2,UN3088,III,4.2,"IB8, IP3, T1, TP33",None,213,241,25 kg,100 kg,C,,,
G ,"Self-heating, solid, oxidizing, n.o.s.",4.2,UN3127,,"4.2, 5.1",,None,214,214,Forbidden,Forbidden,,,,
G ,"Self-heating solid, toxic, inorganic, n.o.s.",4.2,UN3191,II,"4.2, 6.1","IB5, IP2, T3, TP33",None,212,242,15 kg,50 kg,C,,,
G ,"Self-heating solid, toxic, inorganic, n.o.s.",4.2,UN3191,III,"4.2, 6.1","IB8, IP3, T1, TP33",None,213,242,25 kg,100 kg,C,,,
G ,"Self-heating, solid, toxic, organic, n.o.s.",4.2,UN3128,II,"4.2, 6.1","IB5, IP2, T3, TP33",None,212,242,15 kg,50 kg,C,,,
G ,"Self-heating, solid, toxic, organic, n.o.s.",4.2,UN3128,III,"4.2, 6.1","IB8, IP3, T1, TP33",None,213,242,25 kg,100 kg,C,,,
,"Self-propelled vehicle, see Engines or Batteries etc",,,,,,,,,,,,,,
G ,Self-reactive liquid type B,4.1,UN3221,II,4.1,53,None,224,None,Forbidden,Forbidden,D,"52, 53",,
G ,"Self-reactive liquid type B, temperature controlled",4.1,UN3231,II,4.1,53,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive liquid type C,4.1,UN3223,II,4.1,,None,224,None,5 L,10 L,D,"52, 53",,
G ,"Self-reactive liquid type C, temperature controlled",4.1,UN3233,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive liquid type D,4.1,UN3225,II,4.1,,None,224,None,5 L,10 L,D,"52, 53",,
G ,"Self-reactive liquid type D, temperature controlled",4.1,UN3235,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive liquid type E,4.1,UN3227,II,4.1,,None,224,None,10 L,25 L,D,"52, 53",,
G ,"Self-reactive liquid type E, temperature controlled",4.1,UN3237,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive liquid type F,4.1,UN3229,II,4.1,,None,224,None,10 L,25 L,D,"52, 53",,
G ,"Self-reactive liquid type F, temperature controlled",4.1,UN3239,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive solid type B,4.1,UN3222,II,4.1,53,None,224,None,Forbidden,Forbidden,D,"52, 53",,
G ,"Self-reactive solid type B, temperature controlled",4.1,UN3232,II,4.1,53,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive solid type C,4.1,UN3224,II,4.1,,None,224,None,5 kg,10 kg,D,"52, 53",,
G ,"Self-reactive solid type C, temperature controlled",4.1,UN3234,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive solid type D,4.1,UN3226,II,4.1,,None,224,None,5 kg,10 kg,D,"52, 53",,
G ,"Self-reactive solid type D, temperature controlled",4.1,UN3236,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive solid type E,4.1,UN3228,II,4.1,,None,224,None,10 kg,25 kg,D,"52, 53",,
G ,"Self-reactive solid type E, temperature controlled",4.1,UN3238,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
G ,Self-reactive solid type F,4.1,UN3230,II,4.1,,None,224,None,10 kg,25 kg,D,"52, 53",,
G ,"Self-reactive solid type F, temperature controlled",4.1,UN3240,II,4.1,,None,224,None,Forbidden,Forbidden,D,"2, 52, 53",,
,Shale oil,3,UN1288,I,3,"T11, TP1, TP8, TP27",None,201,243,1 L,30 L,B,,,
,Shale oil,3,UN1288,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Shale oil,3,UN1288,II,3,"IB2, T4, TP1, TP8",150,202,242,5 L,60 L,B,,,
,"Shaped charges, see Charges, shaped, etc",,,,,,,,,,,,,,
,"Signal devices, hand",1.4G,UN0191,II,1.4G,,None,62,None,Forbidden,75 kg,6,,,
,"Signal devices, hand",1.4S,UN0373,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
,"Signals, distress, ship",1.1G,UN0194,II,1.1G,,None,62,None,Forbidden,Forbidden,7,,,
,"Signals, distress, ship",1.3G,UN0195,II,1.3G,,None,62,None,Forbidden,75 kg,7,,,
,"Signals, highway, see Signal devices, hand",,,,,,,,,,,,,,
,"Signals, railway track, explosive",1.1G,UN0192,II,1.1G,,None,62,None,Forbidden,Forbidden,7,,,
,"Signals, railway track, explosive",1.4S,UN0193,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
,"Signals, railway track, explosive",1.3G,UN0492,,1.3G,,None,62,None,Forbidden,Forbidden,7,,,
,"Signals, railway track, explosive",1.4G,UN0493,,1.4G,,None,62,None,Forbidden,75 kg,6,,,
,"Signals, ship distress, water-activated, see Contrivances, water-activated, etc",,,,,,,,,,,,,,
,"Signals, smoke",1.1G,UN0196,II,1.1G,,None,62,None,Forbidden,Forbidden,7,,,
,"Signals, smoke",1.2G,UN0313,II,1.2G,,None,62,None,Forbidden,Forbidden,7,,,
,"Signals, smoke",1.3G,UN0487,II,1.3G,,None,62,None,Forbidden,Forbidden,7,,,
,"Signals, smoke",1.4G,UN0197,II,1.4G,,None,62,None,Forbidden,75 kg,6,,,
,Silane,2.1,UN2203,,2.1,,None,302,None,Forbidden,Forbidden,E,"40, 57, 104",,
,"Silicofluoric acid, see Fluorosilicic acid",,,,,,,,,,,,,,
,"Silicon chloride, see Silicon tetrachloride",,,,,,,,,,,,,,
,"Silicon powder, amorphous",4.1,UN1346,III,4.1,"A1, IB8, IP3, T1, TP33",None,213,240,25 kg,100 kg,A,74,,
,Silicon tetrachloride,8,UN1818,II,8,"A3, A6, B2, B6, IB2, T7, TP2, TP7",154,202,242,1 L,30 L,C,40,,
,Silicon tetrafluoride,2.3,UN1859,,"2.3, 8",2,None,302,None,Forbidden,Forbidden,D,40,,
,Silver acetylide (dry),Forbidden,,,,,,,,,,,,,
,Silver arsenite,6.1,UN1683,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Silver azide (dry),Forbidden,,,,,,,,,,,,,
,Silver chlorite (dry),Forbidden,,,,,,,,,,,,,
,Silver cyanide,6.1,UN1684,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,"40, 52",,
,Silver fulminate (dry),Forbidden,,,,,,,,,,,,,
,Silver nitrate,5.1,UN1493,II,5.1,"IB8, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,,,
,Silver oxalate (dry),Forbidden,,,,,,,,,,,,,
,Silver picrate (dry),Forbidden,,,,,,,,,,,,,
,"Silver picrate, wetted with not < 30% water, by mass",4.1,UN1347,I,4.1,23,None,211,None,Forbidden,Forbidden,D,"28, 36",,
,"Sludge, acid",8,UN1906,II,8,"A3, A7, B2, IB2, N34, T8, TP2, TP12, TP28",None,202,242,Forbidden,30 L,C,14,,
D ,Smokeless powder for small arms (100 pounds or less),4.1,NA3178,I,4.1,16,None,171,None,Forbidden,7.3 kg,A,,,
,Soda lime with > 4% sodium hydroxide,8,UN1907,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,52,,
,Sodium,4.3,UN1428,I,4.3,"A7, A8, A19, A20, B9, B48, B68, IB4, IP1, N34, T9, TP7, TP33, TP46",None,211,244,Forbidden,15 kg,D,52,,
,"Sodium aluminate, solid",8,UN2812,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
,"Sodium aluminate, solution",8,UN1819,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,A,52,,
,"Sodium aluminate, solution",8,UN1819,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,52,,
,Sodium aluminum hydride,4.3,UN2835,II,4.3,"A8, A19, A20, IB4, T3, TP33",151,212,242,Forbidden,50 kg,E,52,,
,Sodium ammonium vanadate,6.1,UN2863,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Sodium arsanilate,6.1,UN2473,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Sodium arsenate,6.1,UN1685,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Sodium arsenite, aqueous solutions",6.1,UN1686,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,,,
,"Sodium arsenite, aqueous solutions",6.1,UN1686,III,6.1,"IB3, T4, TP2",153,203,241,60 L,220 L,A,,,
,"Sodium arsenite, solid",6.1,UN2027,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Sodium azide,6.1,UN1687,II,6.1,"IB8, IP2, IP4",153,212,242,25 kg,100 kg,A,"36, 52, 91",,
,"Sodium bifluoride, see Sodium hydrogendifluoride",,,,,,,,,,,,,,
,"Sodium bisulfite, solution, see Bisulfites, aqueous solutions, n.o.s.",,,,,,,,,,,,,,
,Sodium borohydride,4.3,UN1426,I,4.3,N40,None,211,242,Forbidden,15 kg,E,52,,
,"Sodium borohydride and sodium hydroxide solution, with not > 12% sodium borohydride and not > 40% sodium hydroxide by mass",8,UN3320,II,8,"B2, IB2, N34, T7, TP2",154,202,242,1 L,30 L,A,52,,
,"Sodium borohydride and sodium hydroxide solution, with not > 12% sodium borohydride and not > 40% sodium hydroxide by mass",8,UN3320,III,8,"B2, IB3, N34, T4, TP2",154,203,241,5 L,60 L,A,52,,
,Sodium bromate,5.1,UN1494,II,5.1,"IB8, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Sodium cacodylate,6.1,UN1688,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,52,,
,Sodium carbonate peroxyhydrate,5.1,UN3378,II,5.1,"IB8, IP2, IP4, T3, TP33",152,212,240,5 kg,25 kg,A,"13, 48, 75",,
,Sodium carbonate peroxyhydrate,5.1,UN3378,III,5.1,"IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,"13, 48, 75",,
,Sodium chlorate,5.1,UN1495,II,5.1,"A9, IB8, IP4, N34, T3, TP33",152,212,240,5 kg,25 kg,A,"56, 58",,
,"Sodium chlorate, aqueous solution",5.1,UN2428,II,5.1,"A2, IB2, T4, TP1",152,202,241,1 L,5 L,B,"56, 58, 133",,
,"Sodium chlorate, aqueous solution",5.1,UN2428,III,5.1,"A2, IB2, T4, TP1",152,203,241,2.5 L,30 L,B,"56, 58, 69, 133",,
,"Sodium chlorate mixed with dinitrotoluene, see Explosive blasting, type C",,,,,,,,,,,,,,
,Sodium chlorite,5.1,UN1496,II,5.1,"A9, IB8, IP2, IP4, N34, T3, TP33",None,212,242,5 kg,25 kg,A,"56, 58",,
,Sodium chloroacetate,6.1,UN2659,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Sodium cuprocyanide, solid",6.1,UN2316,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,52,,
,"Sodium cuprocyanide, solution",6.1,UN2317,I,6.1,"T14, TP2, TP13",None,201,243,1 L,30 L,B,"40, 52",,
,"Sodium cyanide, solid",6.1,UN1689,I,6.1,"B69, B77, IB7, N74, N75, T6, TP33",None,211,242,5 kg,50 kg,B,52,,
,Sodium cyanide solution,6.1,UN3414,I,6.1,"B69, B77, N74, N75, T14, TP2, TP13",None,201,243,1 L,30 L,B,52,,
,Sodium cyanide solution,6.1,UN3414,II,6.1,"B69, B77, IB2, N74, N75, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,52,,
,Sodium cyanide solution,6.1,UN3414,III,6.1,"B69, B77, IB3, N74, N75, T7, TP2, TP13, TP28",153,203,241,60 L,220 L,A,52,,
,"Sodium dichloroisocyanurate or Sodium dichloro-s-triazinetrione, see Dichloroisocyanuric acid etc",,,,,,,,,,,,,,
,"Sodium dinitro-o-cresolate, dry or wetted with < 15% water, by mass",1.3C,UN0234,II,1.3C,,None,62,None,Forbidden,Forbidden,10,5E,,
,"Sodium dinitro-o-cresolate, wetted with not < 10% water, by mass",4.1,UN3369,I,4.1,"162, A8, A19, N41, N84",None,211,None,0.5 kg,0.5 kg,E,36,,
,"Sodium dinitro-o-cresolate, wetted with not < 15% water, by mass",4.1,UN1348,I,"4.1, 6.1","23, A8, A19, A20, N41",None,211,None,1 kg,15 kg,E,"28, 36",,
,Sodium dithionite or Sodium hydrosulfite,4.2,UN1384,II,4.2,"A19, A20, IB6, IP2, T3, TP33",None,212,241,15 kg,50 kg,E,13,,
,"Sodium fluoride, solid",6.1,UN1690,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,52,,
,Sodium fluoride solution,6.1,UN3415,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,52,,
,Sodium fluoroacetate,6.1,UN2629,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,E,,,
,Sodium fluorosilicate,6.1,UN2674,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,52,,
,"Sodium hydrate, see Sodium hydroxide, solid",,,,,,,,,,,,,,
,Sodium hydride,4.3,UN1427,I,4.3,"A19, N40",None,211,242,Forbidden,15 kg,E,52,,
,Sodium hydrogendifluoride,8,UN2439,II,8,"IB8, IP2, IP4, N3, N34, T3, TP33",154,212,240,15 kg,50 kg,A,"12, 25, 40, 52",,
,"Sodium hydrosulfide, with < 25% water of crystallization",4.2,UN2318,II,4.2,"A7, A19, A20, IB6, IP2, T3, TP33",None,212,241,15 kg,50 kg,A,52,,
,Sodium hydrosulfide with not < 25% water of crystallization,8,UN2949,II,8,"A7, IB8, IP2, IP4, T7, TP2",154,212,240,15 kg,50 kg,A,52,,
,"Sodium hydrosulfite, see Sodium dithionite",,,,,,,,,,,,,,
,"Sodium hydroxide, solid",8,UN1823,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,52,,
,Sodium hydroxide solution,8,UN1824,II,8,"B2, IB2, N34, T7, TP2",154,202,242,1 L,30 L,A,52,,
,Sodium hydroxide solution,8,UN1824,III,8,"IB3, N34, T4, TP1",154,203,241,5 L,60 L,A,52,,
,"Sodium hypochlorite, solution, see Hypochlorite solutions etc",,,,,,,,,,,,,,
,"Sodium metal, liquid alloy, see Alkali metal alloys, liquid, n.o.s.",,,,,,,,,,,,,,
,Sodium methylate,4.2,UN1431,II,"4.2, 8","A7, A19, IB5, IP2, T3, TP33",None,212,242,15 kg,50 kg,B,,,
,Sodium methylate solutions in alcohol,3,UN1289,II,"3, 8","IB2, T7, TP1, TP8",150,202,243,1 L,5 L,B,,,
,Sodium methylate solutions in alcohol,3,UN1289,III,"3, 8","B1, IB3, T4, TP1",150,203,242,5 L,60 L,A,,,
,Sodium monoxide,8,UN1825,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,52,,
,Sodium nitrate,5.1,UN1498,III,5.1,"A1, A29, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,Sodium nitrate and potassium nitrate mixtures,5.1,UN1499,III,5.1,"A1, A29, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,Sodium nitrite,5.1,UN1500,III,"5.1, 6.1","A1, A29, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,"56, 58",,
,Sodium pentachlorophenate,6.1,UN2567,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Sodium perborate monohydrate,5.1,UN3377,III,5.1,"IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,"13, 48, 75",,
,Sodium perchlorate,5.1,UN1502,II,5.1,"IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Sodium permanganate,5.1,UN1503,II,5.1,"IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,D,"56, 58, 138",,
,Sodium peroxide,5.1,UN1504,I,5.1,"A20, IB5, IP1, N34",None,211,None,Forbidden,15 kg,B,"13, 52, 66, 75",,
,"Sodium peroxoborate, anhydrous",5.1,UN3247,II,5.1,"IB8, IP4, T3, TP33",152,212,240,5 kg,25 kg,A,"13, 25",,
,Sodium persulfate,5.1,UN1505,III,5.1,"A1, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,"56, 58",,
,Sodium phosphide,4.3,UN1432,I,"4.3, 6.1","A19, N40",None,211,None,Forbidden,15 kg,E,"40, 52, 85",,
,"Sodium picramate, dry or wetted with < 20% water, by mass",1.3C,UN0235,II,1.3C,,None,62,None,Forbidden,Forbidden,10,5E,,
,"Sodium picramate, wetted with not < 20% water, by mass",4.1,UN1349,I,4.1,"23, A8, A19, N41",None,211,None,Forbidden,15 kg,E,"28, 36",,
,Sodium picryl peroxide,Forbidden,,,,,,,,,,,,,
,"Sodium potassium alloys, see Potassium sodium alloys",,,,,,,,,,,,,,
,"Sodium selenate, see Selenates or Selenites",,,,,,,,,,,,,,
,"Sodium sulfide, anhydrous or Sodium sulfide with < 30% water of crystallization",4.2,UN1385,II,4.2,"A19, A20, IB6, IP2, N34, T3, TP33",None,212,241,15 kg,50 kg,A,52,,
,"Sodium sulfide, hydrated with not < 30% water",8,UN1849,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,52,,
,Sodium superoxide,5.1,UN2547,I,5.1,"A20, IB6, IP1, N34",None,211,None,Forbidden,15 kg,E,"13, 52, 66, 75",,
,Sodium tetranitride,Forbidden,,,,,,,,,,,,,
G ,"Solids containing corrosive liquid, n.o.s.",8,UN3244,II,8,"49, IB5, T3, TP33",154,212,240,15 kg,50 kg,B,40,,
G ,"Solids containing flammable liquid, n.o.s.",4.1,UN3175,II,4.1,"47, IB6, IP2, T3, TP33",151,212,240,15 kg,50 kg,B,,,
G ,"Solids containing toxic liquid, n.o.s.",6.1,UN3243,II,6.1,"48, IB2, T2, TP33",153,212,240,25 kg,100 kg,B,40,,
,"Sounding devices, explosive",1.2F,UN0204,II,1.2F,,None,62,None,Forbidden,Forbidden,8,,,
,"Sounding devices, explosive",1.1F,UN0296,II,1.1F,,None,62,None,Forbidden,Forbidden,8,,,
,"Sounding devices, explosive",1.1D,UN0374,II,1.1D,,None,62,None,Forbidden,Forbidden,7,,,
,"Sounding devices, explosive",1.2D,UN0375,II,1.2D,,None,62,None,Forbidden,Forbidden,7,,,
,"Spirits of salt, see Hydrochloric acid",,,,,,,,,,,,,,
,"Squibs, see Igniters etc",,,,,,,,,,,,,,
,"Stannic chloride, anhydrous",8,UN1827,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,C,,,
,Stannic chloride pentahydrate,8,UN2440,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
,Stannic phosphide,4.3,UN1433,I,"4.3, 6.1","A19, N40",None,211,242,Forbidden,15 kg,E,"40, 52, 85",,
,"Steel swarf, see Ferrous metal borings, etc",,,,,,,,,,,,,,
,Stibine,2.3,UN2676,,"2.3, 2.1",1,None,304,None,Forbidden,Forbidden,D,40,,
,"Storage batteries, wet, see Batteries, wet etc",,,,,,,,,,,,,,
,Strontium arsenite,6.1,UN1691,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Strontium chlorate,5.1,UN1506,II,5.1,"A1, A9, IB8, IP2, IP4, N34, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Strontium nitrate,5.1,UN1507,III,5.1,"A1, A29, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,Strontium perchlorate,5.1,UN1508,II,5.1,"IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Strontium peroxide,5.1,UN1509,II,5.1,"IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,A,"13, 52, 66, 75",,
,Strontium phosphide,4.3,UN2013,I,"4.3, 6.1","A19, N40",None,211,None,Forbidden,15 kg,E,"40, 52, 85",,
,Strychnine or Strychnine salts,6.1,UN1692,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
,"Styphnic acid, see Trinitroresorcinol, etc",,,,,,,,,,,,,,
,"Styrene monomer, stabilized",3,UN2055,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
G ,"Substances, explosive, n.o.s.",1.1L,UN0357,II,1.1L,,None,62,None,Forbidden,Forbidden,,"8E, 14E, 15E, 17E",,
G ,"Substances, explosive, n.o.s.",1.2L,UN0358,II,1.2L,,None,62,None,Forbidden,Forbidden,,"8E, 14E, 15E, 17E",,
G ,"Substances, explosive, n.o.s.",1.3L,UN0359,II,1.3L,,None,62,None,Forbidden,Forbidden,,"8E, 14E, 15E, 17E",,
G ,"Substances, explosive, n.o.s.",1.1A,UN0473,II,1.1A,111,None,62,None,Forbidden,Forbidden,12,,,
G ,"Substances, explosive, n.o.s.",1.1C,UN0474,II,1.1C,,None,62,None,Forbidden,Forbidden,10,,,
G ,"Substances, explosive, n.o.s.",1.1D,UN0475,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
G ,"Substances, explosive, n.o.s.",1.1G,UN0476,II,1.1G,,None,62,None,Forbidden,Forbidden,8,,,
G ,"Substances, explosive, n.o.s.",1.3C,UN0477,II,1.3C,,None,62,None,Forbidden,Forbidden,10,,,
G ,"Substances, explosive, n.o.s.",1.3G,UN0478,II,1.3G,,None,62,None,Forbidden,Forbidden,8,,,
G ,"Substances, explosive, n.o.s.",1.4C,UN0479,II,1.4C,,None,62,None,Forbidden,75 kg,9,,,
G ,"Substances, explosive, n.o.s.",1.4D,UN0480,II,1.4D,,None,62,None,Forbidden,75 kg,9,,,
G ,"Substances, explosive, n.o.s.",1.4S,UN0481,II,1.4S,,None,62,None,25 kg,75 kg,5,,,
G ,"Substances, explosive, n.o.s.",1.4G,UN0485,II,1.4G,,None,62,None,Forbidden,75 kg,8,,,
G ,"Substances, explosive, very insensitive, n.o.s., or Substances, EVI, n.o.s.",1.5D,UN0482,II,1.5D,,None,62,None,Forbidden,Forbidden,10,,,
,"Substituted nitrophenol pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2780,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,B,40,,
,"Substituted nitrophenol pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2780,II,"3, 6.1","IB2, T11, TP2, TP13, TP27",150,202,243,1 L,60 L,B,40,,
,"Substituted nitrophenol pesticides, liquid, toxic",6.1,UN3014,I,6.1,"T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Substituted nitrophenol pesticides, liquid, toxic",6.1,UN3014,II,6.1,"IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Substituted nitrophenol pesticides, liquid, toxic",6.1,UN3014,III,6.1,"IB3, T7, TP2, TP28",153,203,241,60 L,220 L,A,40,,
,"Substituted nitrophenol pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3013,I,"6.1, 3","T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Substituted nitrophenol pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3013,II,"6.1, 3","IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Substituted nitrophenol pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3013,III,"6.1, 3","B1, IB3, T7, TP2, TP28",153,203,242,60 L,220 L,A,40,,
,"Substituted nitrophenol pesticides, solid, toxic",6.1,UN2779,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
,"Substituted nitrophenol pesticides, solid, toxic",6.1,UN2779,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
,"Substituted nitrophenol pesticides, solid, toxic",6.1,UN2779,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,40,,
,Sucrose octanitrate (dry),Forbidden,,,,,,,,,,,,,
,Sulfamic acid,8,UN2967,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
I ,Sulfur,4.1,UN1350,III,4.1,"30, IB8, IP3, T1, TP33",None,None,240,25 kg,100 kg,A,"19, 74",,
D ,Sulfur,9,NA1350,III,9,"30, IB8, IP2",None,None,240,No limit,No limit,A,"19, 74",,
,"Sulfur and chlorate, loose mixtures of",Forbidden,,,,,,,,,,,,,
,Sulfur chlorides,8,UN1828,I,8,"5, A3, A7, A10, B10, B77, N34, T20, TP2, TP12",None,201,243,Forbidden,2.5 L,C,40,,
,"Sulfur dichloride, see Sulfur chlorides",,,,,,,,,,,,,,
,Sulfur dioxide,2.3,UN1079,,"2.3, 8","3, B14, T50, TP19",None,304,"314, 315",Forbidden,Forbidden,D,40,,
,"Sulfur dioxide solution, see Sulfurous acid",,,,,,,,,,,,,,
,"Sulfuretted hydrogen, see Hydrogen sulfide",,,,,,,,,,,,,,
,Sulfur hexafluoride,2.2,UN1080,,2.2,,306,304,"314, 315",75 kg,150 kg,A,,,
+ ,"Sulfuric acid, fuming with 30% or more free sulfur trioxide",8,UN1831,I,"8, 6.1","2, B9, B14, B32, B74, B77, B84, N34, T20, TP2, TP12, TP13",None,227,244,Forbidden,Forbidden,C,"14, 40",,
,"Sulfuric acid, fuming with < 30% free sulfur trioxide",8,UN1831,I,8,"A3, A7, B84, N34, T20, TP2, TP12, TP13",None,201,243,Forbidden,2.5 L,C,"14, 40",,
,"Sulfuric acid, spent",8,UN1832,II,8,"A3, A7, B2, B83, B84, IB2, N34, T8, TP2, TP12",None,202,242,Forbidden,30 L,C,14,,
,Sulfuric acid with > 51% acid,8,UN1830,II,8,"A3, A7, B3, B83, B84, IB2, N34, T8, TP2, TP12",154,202,242,1 L,30 L,C,14,,
,Sulfuric acid with not > 51% acid,8,UN2796,II,8,"A3, A7, B2, B15, IB2, N6, N34, T8, TP2, TP12",154,202,242,1 L,30 L,B,,,
,"Sulfuric and hydrofluoric acid mixtures, see Hydrofluoric and sulfuric acid mixtures",,,,,,,,,,,,,,
,"Sulfuric anhydride, see Sulfur trioxide, stabilized",,,,,,,,,,,,,,
I ,"Sulfur, molten",4.1,UN2448,III,4.1,"30, IB1, T1, TP3",None,213,247,Forbidden,Forbidden,C,74,,
D ,"Sulfur, molten",9,NA2448,III,9,"30, IB3, T1, TP3",None,213,247,Forbidden,Forbidden,C,61,,
,Sulfurous acid,8,UN1833,II,8,"B3, IB2, T7, TP2",154,202,242,1 L,30 L,B,40,,
,Sulfur tetrafluoride,2.3,UN2418,,"2.3, 8",1,None,302,245,Forbidden,Forbidden,D,"40, 52",,
+ ,"Sulfur trioxide, stabilized",8,UN1829,I,"8, 6.1","2, B9, B14, B32, B49, B74, B77, N34, T20, TP4, TP12, TP13, TP25, TP26, TP38, TP45",None,227,244,Forbidden,Forbidden,A,40,,
